Team,Username,Role,ExtraGroups
alpha,a.galloway,Team Lead,
alpha,j.coover,Assistant Lead,
alpha,y.panhtos,Operator,
alpha,t.mison,Operator,
alpha,r.dawd,Operator,
alpha,l.hitchen,Operator,
alpha,m.kafo,Operator,
alpha,t.detro,Operator,
alpha,j.baines,Operator,
alpha,a.guy,Operator,
bravo,b.holloway,Team Lead,
bravo,j.carver,Assistant Lead,
bravo,r.santos,Operator,
bravo,k.morrison,Operator,
bravo,t.wade,Operator,
bravo,l.chen,Operator,
bravo,m.okafor,Operator,
bravo,s.petrov,Operator,
bravo,d.hayes,Operator,
bravo,a.nguyen,Operator,
charlie,c.walker,Team Lead,
charlie,n.foster,Assistant Lead,
charlie,p.garcia,Operator,
charlie,o.webb,Operator,
charlie,e.munoz,Operator,
charlie,f.riley,Operator,
charlie,g.kim,Operator,
charlie,h.brooks,Operator,
charlie,i.cole,Operator,
charlie,w.price,Operator,
